Group stage,Group stage.1,Group stage.2,Group stage.3
Real Madrid (TH),1. FC Kaiserslautern (1st),Lens (1st),Arsenal (1st)
Juventus (1st),Barcelona (1st),Ajax (1st),Porto (1st)
Second qualifying round,Second qualifying round,Second qualifying round,Second qualifying round
Internazionale (2nd),PSV Eindhoven (2nd),Panathinaikos (2nd),Spartak Moscow (1st)
Bayern Munich (2nd),Manchester United (2nd),Sparta Prague (1st),Croatia Zagreb (1st)
Athletic Bilbao (2nd),Benfica (2nd),Rosenborg (1st),Galatasaray (1st)
Metz (2nd),Olympiacos (1st),Sturm Graz (1st),Brøndby (1st)
First qualifying round,First qualifying round,First qualifying round,First qualifying round
Grasshopper (1st),Dinamo Tbilisi (1st),Skonto (1st),Cliftonville (1st)
Dynamo Kyiv (1st),Anorthosis Famagusta (1st),Litex Lovech (1st),Valletta (1st)
ŁKS Łódź (1st),Celtic (1st),Sileks (1st),Barry Town (1st)
Újpest (1st),Beitar Jerusalem (1st),Kareda (1st),St Patrick's Athletic (1st)
Club Brugge (1st),Maribor (1st),Obilić (1st),B36 (1st)
Košice (1st),Dinamo Minsk (1st),Zimbru Chișinău (1st),Vllaznia (1st)
Steaua București (1st),ÍBV (1st),Flora (1st),Jeunesse Esch (1st)
Halmstads BK (1st),HJK (1st),Yerevan (1st),Kapaz (1st)
