Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,GAL,ROS,ATH
1,Juventus,6,1,5,0,7,5,+2,8,Advance to knockout stage,,—,2–2,2–0,1–1
2,Galatasaray,6,2,2,2,8,8,0,8,,,1–1,—,3–0,2–1
3,Rosenborg,6,2,2,2,7,8,−1,8,,,1–1,3–0,—,2–1
4,Athletic Bilbao,6,1,3,2,5,6,−1,6,,,0–0,1–0,1–1,—
