Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,MUN,BAR,BRO
1,Bayern Munich,6,3,2,1,9,6,+3,11,Advance to knockout stage,,—,2–2,1–0,2–0
2,Manchester United,6,2,4,0,20,11,+9,10,Advance to knockout stage,,1–1,—,3–3,5–0
3,Barcelona,6,2,2,2,11,9,+2,8,,,1–2,3–3,—,2–0
4,Brøndby,6,1,0,5,4,18,−14,3,,,2–1,2–6,0–2,—
