0,1,2,3
17 Nëntori (1st),Admira-NÖ Energie Wien (1st),Anderlecht (1st),CSKA Red Flag (1st)
Omonia (1st),Dukla Prague (1st),Esbjerg (1st),Vorwärts Berlin (1st)
Liverpool (1st),Haka (1st),Nantes (1st),Olympiacos (1st)
Vasas (1st),KR (1st),Inter Milan (1st),Aris Bonnevoie (1st)
Sliema Wanderers (1st),Ajax (1st),Linfield (1st),Vålerenga (1st)
Górnik Zabrze (1st),Sporting CP (1st),Waterford (1st),Petrolul Ploiești (1st)
Celtic (1st),Atlético Madrid (1st),Real Madrid (2nd)TH,Malmö FF (1st)
Zürich (1st),Beşiktaş (1st),Torpedo Moscow (1st),1860 Munich (1st)
Vojvodina (1st),,,
