Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Vojvodina,3–3,Atlético Madrid,3–1,0–2,3–2
Nantes,2–6,Celtic,1–3,1–3,
Ajax,7–3,Liverpool,5–1,2–2,
Dukla Prague,6–2,Anderlecht,4–1,2–1,
Inter Milan,4–1,Vasas,2–1,2–0,
1860 Munich,2–3,Real Madrid,1–0,1–3,
Vålerenga,2–5,Linfield,1–4,1–1,
CSKA Red Flag,4–3,Górnik Zabrze,4–0,0–3,
