Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Vojvodina,1–2,Celtic,1–0,0–2
Ajax,2–3,Dukla Prague,1–1,1–2
Inter Milan,3–0,Real Madrid,1–0,2–0
Linfield,2–3,CSKA Red Flag,2–2,0–1
