Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Celtic,3–1,Dukla Prague,3–1,0–0,
Inter Milan,2–2,CSKA Red Flag,1–1,1–1,1–0
