Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Aberdeen,0–5,Liverpool,0–1,0–4
CSKA Sofia,5–0,Szombierki Bytom,4–0,1–0
Bayern Munich,6–3,Ajax,5–1,1–2
Baník Ostrava,1–1 (a),BFC Dynamo,0–0,1–1
Spartak Moscow,3–2,Esbjerg,3–0,0–2
Real Madrid,3–0,Budapest Honvéd,1–0,2–0
Nantes,2–3,Internazionale,1–2,1–1
Basel,1–2,Red Star Belgrade,1–0,0–2
