Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Liverpool,6–1,CSKA Sofia,5–1,1–0
Bayern Munich,6–2,Baník Ostrava,2–0,4–2
Spartak Moscow,0–2,Real Madrid,0–0,0–2
Internazionale,2–1,Red Star Belgrade,1–1,1–0
