Rank,Name,Team,Goals
1,Terry McDermott,Liverpool,6
1,Karl-Heinz Rummenigge,Bayern Munich,6
1,Graeme Souness,Liverpool,6
4,Tsvetan Yonchev,CSKA Sofia,5
5,Alessandro Altobelli,Internazionale,4
5,Yuri Gavrilov,Spartak Moscow,4
5,Dieter Hoeneß,Bayern Munich,4
8,Juanito,Real Madrid,3
8,Vagiz Khidiyatullin,Spartak Moscow,3
8,Srebrenko Repčić,Red Star Belgrade,3
8,Santillana,Real Madrid,3
8,Frank Arnesen,AFC Ajax,3
