Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Milan,Bye,–,–,–
Celtic,6–2,Red Star Belgrade,5–1,1–1
Manchester United,4–3,Anderlecht,3–0,1–3
Rapid Wien,2–2 (a),Real Madrid,1–0,1–2
Ajax,4–0,Fenerbahçe,2–0,2–0
Benfica,Bye,–,–,–
Reipas Lahti,2–16,Spartak Trnava,1–9,1–7
AEK Athens,2–0,AB,0–0,2–0
