Rank,Name,Team,Goals
1,Denis Law,Manchester United,9
2,Johan Cruyff,Ajax,6
2,Pierino Prati,Milan,6
4,Jozef Adamec,Spartak Trnava,5
4,Ladislav Kuna,Spartak Trnava,5
4,José Augusto Torres,Benfica,5
7,Gerard Bergholtz,Anderlecht,4
7,Inge Danielsson,Ajax,4
7,Odd Iversen,Rosenborg,4
7,Pirri,Real Madrid,4
7,Valér Švec,Spartak Trnava,4
