0,1,2,3
Rapid Wien (1st),Anderlecht (1st),Levski-Spartak (1st),AEL Limassol (1st)
Spartak Trnava (1st),AB (1st),Manchester City (1st),Manchester United (2nd)TH
Reipas Lahti (1st),Saint-Étienne (1st),Carl Zeiss Jena (1st),Nürnberg (1st)
AEK Athens (1st),Ferencváros (1st),Valur (1st),Waterford (1st)
Milan (1st),Jeunesse Esch (1st),Floriana (1st),Ajax (1st)
Glentoran (1st),Rosenborg (1st),Ruch Chorzów (1st),Benfica (1st)
Steaua București (1st),Celtic (1st),Real Madrid (1st),Malmö FF (1st)
Zürich (1st),Fenerbahçe (1st),Dynamo Kyiv (1st),Red Star Belgrade (1st)
