Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Milan,1–0,Celtic,0–0,1–0,
Manchester United,3–0,Rapid Wien,3–0,0–0,
Ajax,4–4,Benfica,1–3,3–1,3–0
Spartak Trnava,3–2,AEK Athens,2–1,1–1,
