Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,JUV,CHE,ZEN,MAL
1,Juventus,6,5,0,1,10,6,+4,15,Advance to knockout phase,,—,1–0,4–2,1–0
2,Chelsea,6,4,1,1,13,4,+9,13,Advance to knockout phase,,4–0,—,1–0,4–0
3,Zenit Saint Petersburg,6,1,2,3,10,10,0,5,Transfer to Europa League,,0–1,3–3,—,4–0
4,Malmö FF,6,0,1,5,1,14,−13,1,,,0–3,0–1,1–1,—
