Phase,Round,Draw date,First leg,Second leg
Qualifying,Preliminary round,8 June 2021,22 June 2021 (semi-finals),25 June 2021 (final)
Qualifying,First qualifying round,15 June 2021,6–7 July 2021,13–14 July 2021
Qualifying,Second qualifying round,16 June 2021,20–21 July 2021,27–28 July 2021
Qualifying,Third qualifying round,19 July 2021,3–4 August 2021,10 August 2021
Play-offs,Play-off round,2 August 2021,17–18 August 2021,24–25 August 2021
Group stage,Matchday 1,26 August 2021,14–15 September 2021,14–15 September 2021
Group stage,Matchday 2,26 August 2021,28–29 September 2021,28–29 September 2021
Group stage,Matchday 3,26 August 2021,19–20 October 2021,19–20 October 2021
Group stage,Matchday 4,26 August 2021,2–3 November 2021,2–3 November 2021
Group stage,Matchday 5,26 August 2021,23–24 November 2021,23–24 November 2021
Group stage,Matchday 6,26 August 2021,7–8 December 2021,7–8 December 2021
Knockout phase,Round of 16,13 December 2021,15–16 & 22–23 February 2022,8–9 & 15–16 March 2022
Knockout phase,Quarter-finals,18 March 2022,5–6 April 2022,12–13 April 2022
Knockout phase,Semi-finals,18 March 2022,26–27 April 2022,3–4 May 2022
Knockout phase,Final,18 March 2022,"28 May 2022 at Stade de France, Saint-Denis","28 May 2022 at Stade de France, Saint-Denis"
