Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LIV,ATM,POR,MIL
1,Liverpool,6,6,0,0,17,6,+11,18,Advance to knockout phase,,—,2–0,2–0,3–2
2,Atlético Madrid,6,2,1,3,7,8,−1,7,Advance to knockout phase,,2–3,—,0–0,0–1
3,Porto,6,1,2,3,4,11,−7,5,Transfer to Europa League,,1–5,1–3,—,1–0
4,Milan,6,1,1,4,6,9,−3,4,,,1–2,1–2,1–1,—
