Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Chelsea,4–5,Real Madrid,1–3,3–2 (a.e.t.)
Manchester City,1–0,Atlético Madrid,1–0,0–0
Villarreal,2–1,Bayern Munich,1–0,1–1
Benfica,4–6,Liverpool,1–3,3–3
