Rank[35],Player,Team,Goals,Minutes played
1,Karim Benzema,Real Madrid,15,1106
2,Robert Lewandowski,Bayern Munich,13,876
3,Sébastien Haller,Ajax,11,668
4,Mohamed Salah,Liverpool,8,1008
5,Christopher Nkunku,RB Leipzig,7,531
5,Riyad Mahrez,Manchester City,7,986
7,Cristiano Ronaldo,Manchester United,6,611
7,Darwin Núñez,Benfica,6,613
7,Kylian Mbappé,Paris Saint-Germain,6,673
7,Leroy Sané,Bayern Munich,6,798
7,Arnaut Danjuma,Villarreal,6,906
