Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,VIL,ATA,YB
1,Manchester United,6,3,2,1,11,8,+3,11,Advance to knockout phase,,—,2–1,3–2,1–1
2,Villarreal,6,3,1,2,12,9,+3,10,Advance to knockout phase,,0–2,—,2–2,2–0
3,Atalanta,6,1,3,2,12,13,−1,6,Transfer to Europa League,,2–2,2–3,—,1–0
4,Young Boys,6,1,2,3,7,12,−5,5,,,2–1,1–4,3–3,—
