Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,INT,SHE,SHK
1,Real Madrid,6,5,0,1,14,3,+11,15,Advance to knockout phase,,—,2–0,1–2,2–1
2,Inter Milan,6,3,1,2,8,5,+3,10,Advance to knockout phase,,0–1,—,3–1,2–0
3,Sheriff Tiraspol,6,2,1,3,7,11,−4,7,Transfer to Europa League,,0–3,1–3,—,2–0
4,Shakhtar Donetsk,6,0,2,4,2,12,−10,2,,,0–5,0–0,1–1,—
