Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,LIL,SAL,SEV,WOL
1,Lille,6,3,2,1,7,4,+3,11,Advance to knockout phase,,—,1–0,0–0,0–0
2,Red Bull Salzburg,6,3,1,2,8,6,+2,10,Advance to knockout phase,,2–1,—,1–0,3–1
3,Sevilla,6,1,3,2,5,5,0,6,Transfer to Europa League,,1–2,1–1,—,2–0
4,VfL Wolfsburg,6,1,2,3,5,10,−5,5,,,1–3,2–1,1–1,—
