Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Sporting CP,1–2,Real Sociedad,1–0,0–2
Dynamo Kyiv,2–4,Hamburg,0–3,2–1
Aston Villa,2–5,Juventus,1–2,1–3
Widzew Łódź,4–3,Liverpool,2–0,2–3
