Rank,Name,Team,Goals
1,Paolo Rossi,Juventus,6
2,Michel Platini,Juventus,5
2,Gary Shaw,Aston Villa,5
4,Lars Bastrup,Hamburg,4
4,Hans Krankl,Rapid Vienna,4
4,Mirosław Tłokiński,Widzew Łódź,4
4,Pedro Uralde,Real Sociedad,4
8,António Oliveira,Sporting CP,3
8,Marek Filipczak,Widzew Łódź,3
8,Atik Ismail,HJK Helsinki,3
8,Christian Keglevits,Rapid Vienna,3
8,Jesús María Satrústegui,Real Sociedad,3
8,Krzysztof Surlit,Widzew Łódź,3
8,Ronnie Whelan,Liverpool,3
8,Gerald Willfurth,Rapid Vienna,3
