Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Ajax,5–2,Bayern Munich,4–0,1–2
Dynamo Kyiv,0–3,Real Madrid,0–0,0–3
Juventus,2–2 (a),Újpesti Dózsa,0–0,2–2
Spartak Trnava,1–2,Derby County,1–0,0–2
