Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
CSKA Sofia,4–1,Panathinaikos,2–1,2–0[n 1]
Ajax,Bye,–,–,–
Galatasaray,1–7,Bayern Munich,1–1,0–6
Waterford,2–3,Omonia,2–1,0–2
Wacker,0–3,Dynamo Kyiv,0–1,0–2
Sliema Wanderers,0–10,Górnik Zabrze,0–5,0–5
Aris,0–6,Argeș Pitești,0–2,0–4
Real Madrid,4–0,Keflavík,3–0,1–0
Marseille,1–3,Juventus,1–0,0–3
Magdeburg,9–1,TPS,6–0,3–1
Celtic,5–2,Rosenborg,2–1,3–1
Újpesti Dózsa,4–3,Basel,2–0,2–3
Spartak Trnava,Bye,–,–,–
Anderlecht,7–2,Vejle,4–2,3–0
Derby County,4–1,Željezničar,2–0,2–1[n 2]
Malmö FF,2–4,Benfica,1–0,1–4
