Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Bayern Munich,3–3 (3–1 p),Real Madrid,2–1,1–2 (a.e.t.)
Chelsea,3–2,Barcelona,1–0,2–2
