Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,20 June 2011,28–29 June 2011,5–6 July 2011
Qualifying,Second qualifying round,20 June 2011,12–13 July 2011,19–20 July 2011
Qualifying,Third qualifying round,15 July 2011,26–27 July 2011,2–3 August 2011
Play-off,Play-off round,5 August 2011,16–17 August 2011,23–24 August 2011
Group stage,Matchday 1,25 August 2011 (Monaco),13–14 September 2011,13–14 September 2011
Group stage,Matchday 2,25 August 2011 (Monaco),27–28 September 2011,27–28 September 2011
Group stage,Matchday 3,25 August 2011 (Monaco),18–19 October 2011,18–19 October 2011
Group stage,Matchday 4,25 August 2011 (Monaco),1–2 November 2011,1–2 November 2011
Group stage,Matchday 5,25 August 2011 (Monaco),22–23 November 2011,22–23 November 2011
Group stage,Matchday 6,25 August 2011 (Monaco),6–7 December 2011,6–7 December 2011
Knockout phase,Round of 16,16 December 2011,14–15 & 21–22 February 2012,6–7 & 13–14 March 2012
Knockout phase,Quarter-finals,16 March 2012,27–28 March 2012,3–4 April 2012
Knockout phase,Semi-finals,16 March 2012,17–18 April 2012,24–25 April 2012
Knockout phase,Final,16 March 2012,"19 May 2012 at Allianz Arena, Munich","19 May 2012 at Allianz Arena, Munich"
