Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Lyon,1–1 (3–4 p),APOEL,1–0,0–1 (a.e.t.)
Napoli,4–5,Chelsea,3–1,1–4 (a.e.t.)
Milan,4–3,Arsenal,4–0,0–3
Basel,1–7,Bayern Munich,1–0,0–7
Bayer Leverkusen,2–10,Barcelona,1–3,1–7
CSKA Moscow,2–5,Real Madrid,1–1,1–4
Zenit Saint Petersburg,3–4,Benfica,3–2,0–2
Marseille,2–2 (a),Internazionale,1–0,1–2
