Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,LEV,VAL,GNK
1,Chelsea,6,3,2,1,13,4,+9,11,Advance to knockout phase,,—,2–0,3–0,5–0
2,Bayer Leverkusen,6,3,1,2,8,8,0,10,Advance to knockout phase,,2–1,—,2–1,2–0
3,Valencia,6,2,2,2,12,7,+5,8,Transfer to Europa League,,1–1,3–1,—,7–0
4,Genk,6,0,3,3,2,16,−14,3,,,1–1,1–1,0–0,—
