Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,APO,ZEN,POR,SHK
1,APOEL,6,2,3,1,6,6,0,9[a],Advance to knockout phase,,—,2–1,2–1,0–2
2,Zenit Saint Petersburg,6,2,3,1,7,5,+2,9[a],Advance to knockout phase,,0–0,—,3–1,1–0
3,Porto,6,2,2,2,7,7,0,8,Transfer to Europa League,,1–1,0–0,—,2–1
4,Shakhtar Donetsk,6,1,2,3,6,8,−2,5,,,1–1,2–2,0–2,—
