Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
APOEL,2–8,Real Madrid,0–3,2–5
Marseille,0–4,Bayern Munich,0–2,0–2
Benfica,1–3,Chelsea,0–1,1–2
Milan,1–3,Barcelona,0–0,1–3
