Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Keylor Navas[1],Real Madrid,222
2,Alisson,Roma,197
3,Gianluigi Buffon,Juventus,92
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Marc-André ter Stegen,Barcelona,47
5,Thibaut Courtois,Chelsea,28
6,Ederson,Manchester City,26
7,Hugo Lloris,Tottenham Hotspur,18
8,Jan Oblak,Atlético Madrid,16
9,David de Gea,Manchester United,7
10,Sven Ulreich,Bayern Munich,5
