Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,BSL,CSKA,BEN
1,Manchester United,6,5,0,1,12,3,+9,15,Advance to knockout phase,,—,3–0,2–1,2–0
2,Basel,6,4,0,2,11,5,+6,12,Advance to knockout phase,,1–0,—,1–2,5–0
3,CSKA Moscow,6,3,0,3,8,10,−2,9,Transfer to Europa League,,1–4,0–2,—,2–0
4,Benfica,6,0,0,6,1,14,−13,0,,,0–1,0–2,1–2,—
