Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,PAR,BAY,CEL,AND
1,Paris Saint-Germain,6,5,0,1,25,4,+21,15[a],Advance to knockout phase,,—,3–0,7–1,5–0
2,Bayern Munich,6,5,0,1,13,6,+7,15[a],Advance to knockout phase,,3–1,—,3–0,3–0
3,Celtic,6,1,0,5,5,18,−13,3[b],Transfer to Europa League,,0–5,1–2,—,0–1
4,Anderlecht,6,1,0,5,2,17,−15,3[b],,,0–4,1–2,0–3,—
