Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Luka Modrić[3],Real Madrid,347
2,Kevin De Bruyne,Manchester City,114
3,Toni Kroos,Real Madrid,69
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Casemiro,Real Madrid,40
5,James Milner,Liverpool,18
6,Andrés Iniesta,Barcelona,16
7,Ivan Rakitić,Barcelona,9
8,Isco,Real Madrid,6
8,Sadio Mané,Liverpool,6
8,Miralem Pjanić,Juventus,6
8,James Rodríguez,Bayern Munich,6
