Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,TOT,RMA,DOR,APO
1,Tottenham Hotspur,6,5,1,0,15,4,+11,16,Advance to knockout phase,,—,3–1,3–1,3–0
2,Real Madrid,6,4,1,1,17,7,+10,13,Advance to knockout phase,,1–1,—,3–2,3–0
3,Borussia Dortmund,6,0,2,4,7,13,−6,2[a],Transfer to Europa League,,1–2,1–3,—,1–1
4,APOEL,6,0,2,4,2,17,−15,2[a],,,0–3,0–6,1–1,—
