Rank[38],Player,Team,Goals,Minutes played
1,Cristiano Ronaldo,Real Madrid,15,1170
2,Mohamed Salah,Liverpool,10,930
2,Sadio Mané,Liverpool,10,940
2,Roberto Firmino,Liverpool,10,1056
5,Wissam Ben Yedder,Sevilla,8,651
5,Edin Džeko,Roma,8,1078
7,Harry Kane,Tottenham Hotspur,7,597
7,Edinson Cavani,Paris Saint-Germain,7,680
9,Neymar,Paris Saint-Germain,6,630
9,Lionel Messi,Barcelona,6,783
