Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,19 June 2017,27–28 June 2017,4–5 July 2017
Qualifying,Second qualifying round,19 June 2017,11–12 July 2017,18–19 July 2017
Qualifying,Third qualifying round,14 July 2017,25–26 July 2017,1–2 August 2017
Play-off,Play-off round,4 August 2017,15–16 August 2017,22–23 August 2017
Group stage,Matchday 1,24 August 2017 (Monaco),12–13 September 2017,12–13 September 2017
Group stage,Matchday 2,24 August 2017 (Monaco),26–27 September 2017,26–27 September 2017
Group stage,Matchday 3,24 August 2017 (Monaco),17–18 October 2017,17–18 October 2017
Group stage,Matchday 4,24 August 2017 (Monaco),31 October – 1 November 2017,31 October – 1 November 2017
Group stage,Matchday 5,24 August 2017 (Monaco),21–22 November 2017,21–22 November 2017
Group stage,Matchday 6,24 August 2017 (Monaco),5–6 December 2017,5–6 December 2017
Knockout phase,Round of 16,11 December 2017,13–14 & 20–21 February 2018,6–7 & 13–14 March 2018
Knockout phase,Quarter-finals,16 March 2018,3–4 April 2018,10–11 April 2018
Knockout phase,Semi-finals,13 April 2018,24–25 April 2018,1–2 May 2018
Knockout phase,Final,13 April 2018,"26 May 2018 at NSC Olimpiyskiy, Kyiv","26 May 2018 at NSC Olimpiyskiy, Kyiv"
