Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Cristiano Ronaldo[4],Real Madrid,287
2,Mohamed Salah,Liverpool,218
3,Lionel Messi,Barcelona,43
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Kylian Mbappé,Paris Saint-Germain,17
5,Edin Džeko,Roma,15
5,Harry Kane,Tottenham Hotspur,15
7,Roberto Firmino,Liverpool,13
8,Gareth Bale,Real Madrid,12
8,Antoine Griezmann,Atlético Madrid,12
8,Sadio Mané,Liverpool,12
